season,game_number,team_name,date,pull_period,pull_time,goal_for_time,goal_against_time,goal_for_timedelta,goal_against_timedelta,game_end_timedelta
20052006,593,ATL,2006-01-04,3,0 days 00:18:50.000000000,,,,,0 days 00:01:10.000000000
20052006,747,CGY,2006-01-26,3,0 days 00:18:38.000000000,,,,,0 days 00:01:22.000000000
20052006,317,CAR,2005-11-22,3,0 days 00:18:33.000000000,,0 days 00:19:59.000000000,,0 days 00:01:26.000000000,
20052006,602,CHI,2006-01-05,3,0 days 00:18:17.000000000,0 days 00:18:23.000000000,,0 days 00:00:06.000000000,,
20052006,602,VAN,2006-01-05,3,0 days 00:19:06.000000000,,,,,0 days 00:00:54.000000000
20052006,252,WSH,2005-11-12,3,0 days 00:19:03.000000000,,,,,0 days 00:00:57.000000000
20052006,481,NYR,2005-12-18,3,0 days 00:19:14.000000000,,,,,0 days 00:00:46.000000000
20052006,878,ATL,2006-03-02,3,0 days 00:19:01.000000000,,,,,0 days 00:00:59.000000000
20052006,23,T.B,2005-10-07,3,0 days 00:18:11.000000000,,0 days 00:18:33.000000000,,0 days 00:00:22.000000000,
20052006,23,T.B,2005-10-07,3,0 days 00:18:39.000000000,,,,,0 days 00:01:21.000000000
20052006,897,WSH,2006-03-04,3,0 days 00:19:11.000000000,0 days 00:19:34.000000000,,0 days 00:00:23.000000000,,
20052006,301,PIT,2005-11-19,3,0 days 00:18:54.000000000,,0 days 00:19:42.000000000,,0 days 00:00:48.000000000,
20052006,751,MIN,2006-01-27,3,0 days 00:19:51.000000000,,,,,0 days 00:00:09.000000000
20052006,244,VAN,2005-11-10,3,0 days 00:17:07.000000000,0 days 00:18:17.000000000,,0 days 00:01:10.000000000,,
20052006,244,VAN,2005-11-10,3,0 days 00:18:36.000000000,,,,,0 days 00:01:24.000000000
20052006,614,BOS,2006-01-07,3,0 days 00:19:17.000000000,0 days 00:19:17.000000000,,0 days 00:00:00.000000000,,
20052006,35,DAL,2005-10-08,3,0 days 00:19:37.000000000,,,,,0 days 00:00:23.000000000
20052006,497,NYI,2005-12-21,3,0 days 00:16:09.000000000,,,,,0 days 00:03:51.000000000
20052006,182,MIN,2005-11-01,3,0 days 00:19:06.000000000,,0 days 00:19:37.000000000,,0 days 00:00:31.000000000,
20052006,881,FLA,2006-03-02,3,0 days 00:19:19.000000000,,,,,0 days 00:00:41.000000000
20052006,706,ATL,2006-01-21,3,0 days 00:18:19.000000000,,,,,0 days 00:01:41.000000000
20052006,356,CAR,2005-11-27,3,0 days 00:18:29.000000000,,0 days 00:18:41.000000000,,0 days 00:00:12.000000000,
20052006,1226,PIT,2006-04-18,3,0 days 00:18:40.000000000,,,,,0 days 00:01:20.000000000
20052006,213,FLA,2005-11-05,3,0 days 00:19:14.000000000,,,,,0 days 00:00:46.000000000
20052006,839,MIN,2006-02-09,3,0 days 00:19:13.000000000,,,,,0 days 00:00:47.000000000
20052006,268,PHI,2005-11-14,3,0 days 00:18:10.000000000,,0 days 00:19:22.000000000,,0 days 00:01:12.000000000,
20052006,907,COL,2006-03-05,3,0 days 00:19:16.000000000,,0 days 00:19:50.000000000,,0 days 00:00:34.000000000,
20052006,454,T.B,2005-12-14,3,0 days 00:18:26.000000000,,0 days 00:19:39.000000000,,0 days 00:01:13.000000000,
20052006,511,NYI,2005-12-23,3,0 days 00:18:57.000000000,,,,,0 days 00:01:03.000000000
20052006,842,WSH,2006-02-10,3,0 days 00:18:54.000000000,,,,,0 days 00:01:06.000000000
20052006,680,TOR,2006-01-17,3,0 days 00:19:18.000000000,,,,,0 days 00:00:42.000000000
20052006,403,ATL,2005-12-05,3,0 days 00:18:50.000000000,,0 days 00:19:15.000000000,,0 days 00:00:25.000000000,
20052006,815,NSH,2006-02-06,3,0 days 00:18:51.000000000,,,,,0 days 00:01:09.000000000
20052006,546,T.B,2005-12-28,3,0 days 00:18:28.000000000,,,,,0 days 00:01:32.000000000
20052006,116,N.J,2005-10-22,3,0 days 00:19:03.000000000,,,,,0 days 00:00:57.000000000
20052006,229,EDM,2005-11-08,3,0 days 00:18:43.000000000,0 days 00:19:01.000000000,,0 days 00:00:18.000000000,,
20052006,229,EDM,2005-11-08,3,0 days 00:19:37.000000000,,0 days 00:19:37.000000000,,0 days 00:00:00.000000000,
20052006,1135,OTT,2006-04-06,3,0 days 00:18:40.000000000,,,,,0 days 00:01:20.000000000
20052006,550,NSH,2005-12-28,3,0 days 00:19:15.000000000,,,,,0 days 00:00:45.000000000
20052006,803,N.J,2006-02-04,3,0 days 00:18:56.000000000,,0 days 00:19:15.000000000,,0 days 00:00:19.000000000,
20052006,784,ANA,2006-02-01,3,0 days 00:17:11.000000000,0 days 00:19:37.000000000,,0 days 00:02:26.000000000,,
20052006,291,ATL,2005-11-18,3,0 days 00:17:55.000000000,0 days 00:18:10.000000000,,0 days 00:00:15.000000000,,
20052006,291,ATL,2005-11-18,3,0 days 00:18:26.000000000,0 days 00:19:53.000000000,,0 days 00:01:27.000000000,,
20052006,1027,BUF,2006-03-22,3,0 days 00:19:17.000000000,,,,,0 days 00:00:43.000000000
20052006,854,PHI,2006-02-11,3,0 days 00:19:16.000000000,,,,,0 days 00:00:44.000000000
20052006,507,FLA,2005-12-22,3,0 days 00:16:43.000000000,,,,,0 days 00:03:17.000000000
20052006,157,STL,2005-10-28,3,0 days 00:19:18.000000000,,,,,0 days 00:00:42.000000000
20052006,1162,NYR,2006-04-09,3,0 days 00:19:30.000000000,,,,,0 days 00:00:30.000000000
20052006,1115,NSH,2006-04-03,3,0 days 00:17:37.000000000,,,,,0 days 00:02:23.000000000
20052006,120,STL,2005-10-22,3,0 days 00:19:01.000000000,,,,,0 days 00:00:59.000000000
20052006,570,CBJ,2005-12-31,3,0 days 00:18:37.000000000,,,,,0 days 00:01:23.000000000
