season,game_number,team_name,date,pull_period,pull_time,goal_for_time,goal_against_time,game_end_time,goal_for_timedelta,goal_against_timedelta,game_end_timedelta
20172018,3,CGY,2017-10-04,3,0 days 00:18:17.000000000,,0 days 00:19:01.000000000,,,0 days 00:00:44.000000000,
20172018,4,S.J,2017-10-04,3,0 days 00:18:25.000000000,,0 days 00:19:24.000000000,,,0 days 00:00:59.000000000,
20172018,4,S.J,2017-10-04,3,0 days 00:19:24.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:36.000000000
20172018,5,NSH,2017-10-05,3,0 days 00:16:55.000000000,,0 days 00:17:07.000000000,,,0 days 00:00:12.000000000,
20172018,5,NSH,2017-10-05,3,0 days 00:17:21.000000000,0 days 00:18:12.000000000,,,0 days 00:00:51.000000000,,
20172018,5,NSH,2017-10-05,3,0 days 00:18:27.500000000,0 days 00:19:25.000000000,,,0 days 00:00:57.500000000,,
20172018,5,NSH,2017-10-05,3,0 days 00:19:28.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:32.000000000
20172018,7,NYR,2017-10-05,3,0 days 00:18:32.000000000,,0 days 00:19:57.000000000,,,0 days 00:01:25.000000000,
20172018,11,ARI,2017-10-05,3,0 days 00:18:17.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:43.000000000
20172018,14,FLA,2017-10-06,3,0 days 00:18:28.000000000,,0 days 00:19:46.000000000,,,0 days 00:01:18.000000000,
20172018,15,VGK,2017-10-06,3,0 days 00:10:17.500000000,0 days 00:10:27.000000000,,,0 days 00:00:09.500000000,,
20172018,15,DAL,2017-10-06,3,0 days 00:19:03.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:56.500000000
20172018,18,T.B,2017-10-07,3,0 days 00:17:46.000000000,,,0 days 00:20:00.000000000,,,0 days 00:02:14.000000000
20172018,20,BUF,2017-10-07,3,0 days 00:17:32.000000000,,0 days 00:19:34.000000000,,,0 days 00:02:02.000000000,
20172018,23,MIN,2017-10-07,3,0 days 00:18:47.000000000,0 days 00:19:59.000000000,,,0 days 00:01:12.000000000,,
20172018,23,MIN,2017-10-07,3,0 days 00:19:59.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:01.000000000
20172018,24,DAL,2017-10-07,3,0 days 00:17:02.000000000,,,0 days 00:20:00.000000000,,,0 days 00:02:58.000000000
20172018,26,VGK,2017-10-07,3,0 days 00:17:42.000000000,0 days 00:18:48.000000000,,,0 days 00:01:06.000000000,,
20172018,28,EDM,2017-10-07,3,0 days 00:18:29.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:30.500000000
20172018,31,MTL,2017-10-08,3,0 days 00:17:27.500000000,,,0 days 00:20:00.000000000,,,0 days 00:02:32.500000000
20172018,32,BOS,2017-10-09,3,0 days 00:19:00.000000000,,0 days 00:19:16.000000000,,,0 days 00:00:16.000000000,
20172018,33,NYI,2017-10-09,3,0 days 00:18:52.500000000,0 days 00:19:00.000000000,,,0 days 00:00:07.500000000,,
20172018,38,ANA,2017-10-09,3,0 days 00:16:37.000000000,,,0 days 00:20:00.000000000,,,0 days 00:03:23.000000000
20172018,39,NYR,2017-10-10,3,0 days 00:18:02.000000000,,0 days 00:18:13.000000000,,,0 days 00:00:11.000000000,
20172018,39,NYR,2017-10-10,3,0 days 00:18:26.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:34.000000000
20172018,40,CAR,2017-10-10,3,0 days 00:17:34.000000000,0 days 00:18:35.000000000,,,0 days 00:01:01.000000000,,
20172018,41,MTL,2017-10-10,3,0 days 00:17:33.000000000,,,0 days 00:20:00.000000000,,,0 days 00:02:27.000000000
20172018,42,NSH,2017-10-10,3,0 days 00:17:34.500000000,0 days 00:18:43.000000000,,,0 days 00:01:08.500000000,,
20172018,42,PHI,2017-10-10,3,0 days 00:19:42.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:18.000000000
20172018,43,DET,2017-10-10,3,0 days 00:17:01.500000000,,0 days 00:19:58.000000000,,,0 days 00:02:56.500000000,
20172018,47,WSH,2017-10-11,3,0 days 00:19:07.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:52.500000000
20172018,48,BOS,2017-10-11,3,0 days 00:18:17.000000000,,0 days 00:18:26.000000000,,,0 days 00:00:09.000000000,
20172018,48,BOS,2017-10-11,3,0 days 00:18:38.000000000,,0 days 00:18:50.000000000,,,0 days 00:00:12.000000000,
20172018,49,NYI,2017-10-11,3,0 days 00:18:31.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:28.500000000
20172018,51,PIT,2017-10-12,3,0 days 00:19:22.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:37.500000000
20172018,53,DAL,2017-10-12,3,0 days 00:16:07.000000000,,0 days 00:18:06.000000000,,,0 days 00:01:59.000000000,
20172018,54,CHI,2017-10-12,3,0 days 00:15:47.000000000,,0 days 00:15:56.000000000,,,0 days 00:00:09.000000000,
20172018,54,CHI,2017-10-12,3,0 days 00:17:22.000000000,,0 days 00:17:59.000000000,,,0 days 00:00:37.000000000,
20172018,55,VAN,2017-10-12,3,0 days 00:18:31.000000000,,0 days 00:19:55.000000000,,,0 days 00:01:24.000000000,
20172018,56,ARI,2017-10-12,3,0 days 00:18:05.500000000,,0 days 00:18:26.000000000,,,0 days 00:00:20.500000000,
20172018,56,ARI,2017-10-12,3,0 days 00:19:29.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:31.000000000
20172018,57,BUF,2017-10-12,3,0 days 00:18:30.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:30.000000000
20172018,59,NYR,2017-10-13,3,0 days 00:18:34.000000000,,0 days 00:19:54.000000000,,,0 days 00:01:20.000000000,
20172018,60,ANA,2017-10-13,3,0 days 00:18:53.500000000,,0 days 00:19:59.000000000,,,0 days 00:01:05.500000000,
20172018,61,OTT,2017-10-13,3,0 days 00:04:53.500000000,0 days 00:05:18.000000000,,,0 days 00:00:24.500000000,,
20172018,64,STL,2017-10-14,3,0 days 00:18:34.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:25.500000000
20172018,65,NYR,2017-10-14,3,0 days 00:16:56.000000000,0 days 00:19:03.000000000,,,0 days 00:02:07.000000000,,
20172018,65,NYR,2017-10-14,3,0 days 00:19:28.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:31.500000000
20172018,67,FLA,2017-10-14,3,0 days 00:18:34.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:26.000000000
20172018,68,CAR,2017-10-14,3,0 days 00:17:48.500000000,,,0 days 00:20:00.000000000,,,0 days 00:02:11.500000000
20172018,69,COL,2017-10-14,3,0 days 00:18:13.500000000,,0 days 00:19:21.000000000,,,0 days 00:01:07.500000000,
20172018,69,COL,2017-10-14,3,0 days 00:19:33.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:26.500000000
20172018,75,BUF,2017-10-14,3,0 days 00:18:57.500000000,,0 days 00:19:47.000000000,,,0 days 00:00:49.500000000,
20172018,76,S.J,2017-10-14,3,0 days 00:17:32.500000000,,0 days 00:18:10.000000000,,,0 days 00:00:37.500000000,
20172018,76,S.J,2017-10-14,3,0 days 00:18:23.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:37.000000000
20172018,77,BOS,2017-10-15,3,0 days 00:18:36.000000000,0 days 00:19:30.000000000,,,0 days 00:00:54.000000000,,
20172018,77,BOS,2017-10-15,3,0 days 00:19:30.000000000,,0 days 00:19:46.000000000,,,0 days 00:00:16.000000000,
20172018,78,ANA,2017-10-15,3,0 days 00:19:23.000000000,,0 days 00:19:36.000000000,,,0 days 00:00:13.000000000,
20172018,79,NYI,2017-10-15,3,0 days 00:19:18.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:41.500000000
20172018,80,DET,2017-10-16,3,0 days 00:19:16.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:44.000000000
20172018,82,PIT,2017-10-17,3,0 days 00:18:14.500000000,0 days 00:19:04.000000000,,,0 days 00:00:49.500000000,,
20172018,83,FLA,2017-10-17,3,0 days 00:16:45.000000000,,0 days 00:18:23.000000000,,,0 days 00:01:38.000000000,
20172018,84,WSH,2017-10-17,3,0 days 00:17:54.000000000,,0 days 00:19:38.000000000,,,0 days 00:01:44.000000000,
20172018,85,OTT,2017-10-17,3,0 days 00:19:06.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:53.500000000
20172018,88,ARI,2017-10-17,3,0 days 00:18:17.000000000,,0 days 00:19:08.000000000,,,0 days 00:00:51.000000000,
20172018,88,ARI,2017-10-17,3,0 days 00:19:16.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:43.500000000
20172018,89,EDM,2017-10-17,3,0 days 00:18:05.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:54.500000000
20172018,90,BUF,2017-10-17,3,0 days 00:16:32.000000000,0 days 00:18:02.000000000,,,0 days 00:01:30.000000000,,
20172018,90,BUF,2017-10-17,3,0 days 00:18:08.500000000,0 days 00:19:51.000000000,,,0 days 00:01:42.500000000,,
20172018,90,BUF,2017-10-17,3,0 days 00:19:51.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:09.000000000
20172018,91,MTL,2017-10-17,3,0 days 00:18:38.500000000,,0 days 00:19:17.000000000,,,0 days 00:00:38.500000000,
20172018,92,DET,2017-10-18,3,0 days 00:16:31.000000000,,0 days 00:16:52.000000000,,,0 days 00:00:21.000000000,
20172018,93,CHI,2017-10-18,3,0 days 00:15:48.500000000,0 days 00:16:07.000000000,,,0 days 00:00:18.500000000,,
20172018,93,CHI,2017-10-18,3,0 days 00:16:19.000000000,,0 days 00:19:08.000000000,,,0 days 00:02:49.000000000,
20172018,97,PHI,2017-10-19,3,0 days 00:18:19.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:40.500000000
20172018,98,CBJ,2017-10-19,3,0 days 00:18:51.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:08.500000000
20172018,101,COL,2017-10-19,3,0 days 00:18:19.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:41.000000000
20172018,102,CGY,2017-10-19,3,0 days 00:18:37.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:22.500000000
20172018,103,ARI,2017-10-19,3,0 days 00:18:21.000000000,0 days 00:19:38.000000000,,,0 days 00:01:17.000000000,,
20172018,103,ARI,2017-10-19,3,0 days 00:19:38.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:22.000000000
20172018,104,BUF,2017-10-20,3,0 days 00:19:06.500000000,,0 days 00:19:38.000000000,,,0 days 00:00:31.500000000,
20172018,104,BUF,2017-10-20,3,0 days 00:19:44.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:16.000000000
20172018,106,WSH,2017-10-20,3,0 days 00:18:01.000000000,0 days 00:18:59.000000000,,,0 days 00:00:58.000000000,,
20172018,107,FLA,2017-10-20,3,0 days 00:18:12.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:48.000000000
20172018,108,MIN,2017-10-20,3,0 days 00:18:28.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:32.000000000
20172018,109,ANA,2017-10-20,3,0 days 00:05:57.000000000,0 days 00:05:58.000000000,,,0 days 00:00:01.000000000,,
20172018,110,NSH,2017-10-21,3,0 days 00:17:40.000000000,,0 days 00:19:21.000000000,,,0 days 00:01:41.000000000,
20172018,111,EDM,2017-10-21,3,0 days 00:19:06.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:54.000000000
20172018,113,TOR,2017-10-21,3,0 days 00:17:13.500000000,,0 days 00:18:21.000000000,,,0 days 00:01:07.500000000,
20172018,115,S.J,2017-10-21,3,0 days 00:17:34.500000000,0 days 00:18:08.000000000,,,0 days 00:00:33.500000000,,
20172018,115,S.J,2017-10-21,3,0 days 00:18:36.500000000,,0 days 00:19:04.000000000,,,0 days 00:00:27.500000000,
20172018,116,WSH,2017-10-21,3,0 days 00:17:17.000000000,,0 days 00:18:44.000000000,,,0 days 00:01:27.000000000,
20172018,116,WSH,2017-10-21,3,0 days 00:18:57.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:02.500000000
20172018,117,CBJ,2017-10-21,3,0 days 00:18:06.500000000,,0 days 00:18:27.000000000,,,0 days 00:00:20.500000000,
20172018,117,CBJ,2017-10-21,3,0 days 00:18:38.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:22.000000000
20172018,118,CAR,2017-10-21,3,0 days 00:17:50.500000000,,,0 days 00:20:00.000000000,,,0 days 00:02:09.500000000
20172018,119,ARI,2017-10-21,3,0 days 00:18:34.000000000,,0 days 00:19:00.000000000,,,0 days 00:00:26.000000000,
20172018,120,CGY,2017-10-21,3,0 days 00:18:06.500000000,,0 days 00:18:57.000000000,,,0 days 00:00:50.500000000,
20172018,123,L.A,2017-10-23,3,0 days 00:18:59.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:00.500000000
20172018,125,DET,2017-10-24,3,0 days 00:18:34.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:26.000000000
20172018,129,CAR,2017-10-24,3,0 days 00:17:07.000000000,,0 days 00:17:27.000000000,,,0 days 00:00:20.000000000,
20172018,129,CAR,2017-10-24,3,0 days 00:18:06.000000000,,0 days 00:18:39.000000000,,,0 days 00:00:33.000000000,
20172018,133,MIN,2017-10-24,3,0 days 00:18:08.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:51.500000000
20172018,134,DAL,2017-10-24,3,0 days 00:19:33.500000000,,0 days 00:19:56.000000000,,,0 days 00:00:22.500000000,
20172018,135,CHI,2017-10-24,3,0 days 00:19:13.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:47.000000000
20172018,137,CGY,2017-10-25,3,0 days 00:19:07.000000000,,0 days 00:19:16.000000000,,,0 days 00:00:09.000000000,
20172018,138,S.J,2017-10-26,3,0 days 00:17:43.500000000,,,0 days 00:20:00.000000000,,,0 days 00:02:16.500000000
20172018,140,ARI,2017-10-26,3,0 days 00:18:21.000000000,,0 days 00:19:24.000000000,,,0 days 00:01:03.000000000,
20172018,143,PHI,2017-10-26,3,0 days 00:17:50.000000000,0 days 00:18:14.000000000,,,0 days 00:00:24.000000000,,
20172018,143,PHI,2017-10-26,3,0 days 00:18:43.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:17.000000000
20172018,144,DET,2017-10-26,3,0 days 00:17:13.000000000,0 days 00:18:11.000000000,,,0 days 00:00:58.000000000,,
20172018,144,DET,2017-10-26,3,0 days 00:18:18.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:41.500000000
20172018,145,ANA,2017-10-26,3,0 days 00:01:55.500000000,0 days 00:02:18.000000000,,,0 days 00:00:22.500000000,,
20172018,147,DAL,2017-10-26,3,0 days 00:19:04.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:55.500000000
20172018,150,OTT,2017-10-27,3,0 days 00:17:35.500000000,0 days 00:18:45.000000000,,,0 days 00:01:09.500000000,,
20172018,150,OTT,2017-10-27,3,0 days 00:19:00.000000000,0 days 00:19:23.000000000,,,0 days 00:00:23.000000000,,
20172018,152,CAR,2017-10-27,3,0 days 00:18:29.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:31.000000000
20172018,153,CHI,2017-10-27,3,0 days 00:18:21.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:39.000000000
20172018,154,CGY,2017-10-27,3,0 days 00:19:25.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:34.500000000
20172018,155,BUF,2017-10-28,3,0 days 00:18:20.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:40.000000000
20172018,157,TOR,2017-10-28,3,0 days 00:16:48.500000000,,,0 days 00:20:00.000000000,,,0 days 00:03:11.500000000
20172018,161,ARI,2017-10-28,3,0 days 00:17:59.000000000,,,0 days 00:20:00.000000000,,,0 days 00:02:01.000000000
20172018,164,PIT,2017-10-28,3,0 days 00:19:25.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:34.500000000
20172018,165,CHI,2017-10-28,3,0 days 00:16:54.000000000,,,0 days 00:20:00.000000000,,,0 days 00:03:06.000000000
20172018,166,EDM,2017-10-28,3,0 days 00:17:15.500000000,,0 days 00:19:41.000000000,,,0 days 00:02:25.500000000,
20172018,169,WSH,2017-10-29,3,0 days 00:19:47.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:12.500000000
20172018,171,PHI,2017-10-30,3,0 days 00:17:38.000000000,0 days 00:19:07.000000000,,,0 days 00:01:29.000000000,,
20172018,171,PHI,2017-10-30,3,0 days 00:19:23.000000000,0 days 00:19:45.000000000,,,0 days 00:00:22.000000000,,
20172018,174,FLA,2017-10-30,3,0 days 00:17:12.500000000,,0 days 00:19:41.000000000,,,0 days 00:02:28.500000000,
20172018,175,L.A,2017-10-30,3,0 days 00:18:34.500000000,,0 days 00:18:55.000000000,,,0 days 00:00:20.500000000,
20172018,175,L.A,2017-10-30,3,0 days 00:19:11.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:49.000000000
20172018,177,TOR,2017-10-30,3,0 days 00:17:37.000000000,,0 days 00:17:47.000000000,,,0 days 00:00:10.000000000,
20172018,178,VGK,2017-10-31,3,0 days 00:18:38.000000000,,0 days 00:18:46.000000000,,,0 days 00:00:08.000000000,
20172018,179,ARI,2017-10-31,3,0 days 00:18:18.000000000,,0 days 00:18:38.000000000,,,0 days 00:00:20.000000000,
20172018,180,MIN,2017-10-31,3,0 days 00:17:58.000000000,,,0 days 00:20:00.000000000,,,0 days 00:02:02.000000000
20172018,181,PHI,2017-11-01,3,0 days 00:17:56.000000000,,0 days 00:18:11.000000000,,,0 days 00:00:15.000000000,
20172018,181,PHI,2017-11-01,3,0 days 00:19:47.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:13.000000000
20172018,182,EDM,2017-11-01,3,0 days 00:18:18.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:41.500000000
20172018,183,VAN,2017-11-01,3,0 days 00:18:17.000000000,,0 days 00:19:44.000000000,,,0 days 00:01:27.000000000,
20172018,184,ANA,2017-11-01,3,0 days 00:18:45.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:14.500000000
20172018,186,VGK,2017-11-02,3,0 days 00:19:34.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:26.000000000
20172018,187,NYI,2017-11-02,3,0 days 00:18:39.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:20.500000000
20172018,188,DET,2017-11-02,3,0 days 00:16:08.000000000,0 days 00:16:37.000000000,,,0 days 00:00:29.000000000,,
20172018,188,DET,2017-11-02,3,0 days 00:17:38.000000000,,0 days 00:19:50.000000000,,,0 days 00:02:12.000000000,
20172018,191,STL,2017-11-02,3,0 days 00:18:04.500000000,,0 days 00:19:54.000000000,,,0 days 00:01:49.500000000,
20172018,192,MTL,2017-11-02,3,0 days 00:17:37.000000000,,0 days 00:18:05.000000000,,,0 days 00:00:28.000000000,
20172018,193,DAL,2017-11-02,3,0 days 00:18:21.000000000,,0 days 00:19:00.000000000,,,0 days 00:00:39.000000000,
20172018,195,PIT,2017-11-02,3,0 days 00:18:17.500000000,0 days 00:18:48.000000000,,,0 days 00:00:30.500000000,,
20172018,196,ARI,2017-11-02,3,0 days 00:17:42.000000000,0 days 00:19:08.000000000,,,0 days 00:01:26.000000000,,
20172018,196,ARI,2017-11-02,3,0 days 00:19:32.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:28.000000000
20172018,197,TOR,2017-11-02,3,0 days 00:17:09.000000000,,,0 days 00:20:00.000000000,,,0 days 00:02:51.000000000
20172018,198,N.J,2017-11-03,3,0 days 00:17:59.000000000,,0 days 00:18:08.000000000,,,0 days 00:00:09.000000000,
20172018,199,ANA,2017-11-03,3,0 days 00:18:51.500000000,,0 days 00:19:42.000000000,,,0 days 00:00:50.500000000,
