season,game_number,team_name,date,pull_period,pull_time,goal_for_time,goal_against_time,game_end_time,goal_for_timedelta,goal_against_timedelta,game_end_timedelta
20142015,1,TOR,2014-10-08,3,0 days 00:19:27.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:33.000000000
20142015,2,PHI,2014-10-08,3,0 days 00:18:51.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:09.000000000
20142015,3,CGY,2014-10-08,3,0 days 00:18:35.000000000,,0 days 00:18:44.000000000,,,0 days 00:00:09.000000000,
20142015,3,CGY,2014-10-08,3,0 days 00:18:56.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:04.000000000
20142015,6,PHI,2014-10-09,3,0 days 00:17:56.000000000,,0 days 00:19:00.000000000,,,0 days 00:01:04.000000000,
20142015,6,PHI,2014-10-09,3,0 days 00:19:46.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:14.000000000
20142015,9,BOS,2014-10-09,3,0 days 00:18:45.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:15.000000000
20142015,10,FLA,2014-10-09,3,0 days 00:09:04.500000000,0 days 00:09:16.000000000,,,0 days 00:00:11.500000000,,
20142015,11,STL,2014-10-09,3,0 days 00:18:55.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:04.500000000
20142015,16,ARI,2014-10-09,3,0 days 00:08:14.500000000,0 days 00:08:25.000000000,,,0 days 00:00:10.500000000,,
20142015,17,CAR,2014-10-10,3,0 days 00:19:13.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:46.500000000
20142015,20,DET,2014-10-11,3,0 days 00:19:48.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:12.000000000
20142015,23,CAR,2014-10-11,3,0 days 00:18:32.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:27.500000000
20142015,25,NYR,2014-10-11,3,0 days 00:17:01.000000000,,0 days 00:18:39.000000000,,,0 days 00:01:38.000000000,
20142015,27,DAL,2014-10-11,3,0 days 00:19:12.500000000,,0 days 00:19:57.000000000,,,0 days 00:00:44.500000000,
20142015,29,COL,2014-10-11,3,0 days 00:16:49.500000000,,0 days 00:19:56.000000000,,,0 days 00:03:06.500000000,
20142015,37,FLA,2014-10-13,3,0 days 00:19:45.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:14.500000000
20142015,42,CBJ,2014-10-14,3,0 days 00:19:17.500000000,,0 days 00:19:59.000000000,,,0 days 00:00:41.500000000,
20142015,44,T.B,2014-10-14,3,0 days 00:19:01.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:59.000000000
20142015,49,EDM,2014-10-15,3,0 days 00:19:18.000000000,,0 days 00:19:33.000000000,,,0 days 00:00:15.000000000,
20142015,51,PIT,2014-10-16,3,0 days 00:19:57.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:03.000000000
20142015,53,BOS,2014-10-16,3,0 days 00:18:59.000000000,,0 days 00:19:40.000000000,,,0 days 00:00:41.000000000,
20142015,54,COL,2014-10-16,3,0 days 00:18:16.000000000,,0 days 00:18:38.000000000,,,0 days 00:00:22.000000000,
20142015,56,BUF,2014-10-17,3,0 days 00:19:32.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:27.500000000
20142015,58,CGY,2014-10-17,3,0 days 00:18:35.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:24.500000000
