season,game_number,team_name,date,pull_period,pull_time,goal_for_time,goal_against_time,game_end_time,goal_for_timedelta,goal_against_timedelta,game_end_timedelta
20162017,2,CHI,2016-10-12,3,0 days 00:17:34.000000000,,0 days 00:18:54.000000000,,,0 days 00:01:20.000000000,
20162017,2,CHI,2016-10-12,3,0 days 00:18:54.000000000,,0 days 00:19:41.000000000,,,0 days 00:00:47.000000000,
20162017,3,CGY,2016-10-12,3,0 days 00:18:22.000000000,,0 days 00:18:38.000000000,,,0 days 00:00:16.000000000,
20162017,4,L.A,2016-10-12,3,0 days 00:18:49.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:10.500000000
20162017,5,BUF,2016-10-13,3,0 days 00:17:56.000000000,,,0 days 00:20:00.000000000,,,0 days 00:02:04.000000000
20162017,6,NYI,2016-10-13,3,0 days 00:16:37.500000000,,0 days 00:17:37.000000000,,,0 days 00:00:59.500000000,
20162017,8,CBJ,2016-10-13,3,0 days 00:17:40.000000000,,0 days 00:19:02.000000000,,,0 days 00:01:22.000000000,
20162017,9,DET,2016-10-13,3,0 days 00:17:55.000000000,,0 days 00:18:39.000000000,,,0 days 00:00:44.000000000,
20162017,11,MIN,2016-10-13,3,0 days 00:18:34.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:25.500000000
20162017,12,WPG,2016-10-13,3,0 days 00:18:17.500000000,0 days 00:18:31.000000000,,,0 days 00:00:13.500000000,,
20162017,13,ANA,2016-10-13,3,0 days 00:16:56.000000000,,,0 days 00:20:00.000000000,,,0 days 00:03:04.000000000
20162017,14,CHI,2016-10-14,3,0 days 00:18:14.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:46.000000000
20162017,15,CGY,2016-10-14,3,0 days 00:17:48.000000000,,0 days 00:18:40.000000000,,,0 days 00:00:52.000000000,
20162017,16,L.A,2016-10-14,3,0 days 00:18:18.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:42.000000000
20162017,19,N.J,2016-10-15,3,0 days 00:18:25.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:34.500000000
20162017,20,DET,2016-10-15,3,0 days 00:18:03.000000000,,0 days 00:18:37.000000000,,,0 days 00:00:34.000000000,
20162017,21,ANA,2016-10-15,3,0 days 00:19:48.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:11.500000000
20162017,22,NYI,2016-10-15,3,0 days 00:18:15.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:45.000000000
20162017,23,CBJ,2016-10-15,3,0 days 00:18:33.500000000,,0 days 00:19:26.000000000,,,0 days 00:00:52.500000000,
20162017,23,CBJ,2016-10-15,3,0 days 00:19:48.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:11.500000000
20162017,24,WPG,2016-10-15,3,0 days 00:18:02.000000000,0 days 00:19:41.000000000,,,0 days 00:01:39.000000000,,
20162017,24,WPG,2016-10-15,3,0 days 00:19:41.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:19.000000000
20162017,25,NYR,2016-10-15,3,0 days 00:18:47.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:13.000000000
20162017,26,NSH,2016-10-15,3,0 days 00:18:29.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:31.000000000
20162017,27,DAL,2016-10-15,3,0 days 00:18:45.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:15.000000000
20162017,30,ANA,2016-10-16,3,0 days 00:18:16.000000000,0 days 00:19:00.000000000,,,0 days 00:00:44.000000000,,
20162017,33,S.J,2016-10-17,3,0 days 00:18:19.500000000,,0 days 00:18:24.000000000,,,0 days 00:00:04.500000000,
20162017,33,S.J,2016-10-17,3,0 days 00:18:57.000000000,,0 days 00:19:53.000000000,,,0 days 00:00:56.000000000,
20162017,36,WPG,2016-10-17,3,0 days 00:18:11.000000000,,0 days 00:19:10.000000000,,,0 days 00:00:59.000000000,
20162017,37,ANA,2016-10-18,3,0 days 00:18:48.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:12.000000000
20162017,38,NYI,2016-10-18,3,0 days 00:18:18.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:41.500000000
20162017,41,ARI,2016-10-18,3,0 days 00:18:43.000000000,,0 days 00:19:47.000000000,,,0 days 00:01:04.000000000,
20162017,42,T.B,2016-10-18,3,0 days 00:18:38.000000000,0 days 00:19:54.000000000,,,0 days 00:01:16.000000000,,
20162017,43,NSH,2016-10-18,3,0 days 00:17:54.000000000,,,0 days 00:20:00.000000000,,,0 days 00:02:06.000000000
20162017,44,L.A,2016-10-18,3,0 days 00:17:09.000000000,,0 days 00:17:42.000000000,,,0 days 00:00:33.000000000,
20162017,45,PHI,2016-10-18,3,0 days 00:18:43.000000000,,0 days 00:19:15.000000000,,,0 days 00:00:32.000000000,
20162017,47,CAR,2016-10-18,3,0 days 00:17:58.500000000,,,0 days 00:20:00.000000000,,,0 days 00:02:01.500000000
20162017,49,NYR,2016-10-19,3,0 days 00:18:25.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:35.000000000
20162017,50,WPG,2016-10-19,3,0 days 00:18:45.500000000,0 days 00:19:05.000000000,,,0 days 00:00:19.500000000,,
20162017,51,N.J,2016-10-20,3,0 days 00:18:55.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:04.500000000
20162017,52,PHI,2016-10-20,3,0 days 00:18:30.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:29.500000000
20162017,53,S.J,2016-10-20,3,0 days 00:17:45.000000000,,,0 days 00:20:00.000000000,,,0 days 00:02:15.000000000
20162017,55,T.B,2016-10-20,3,0 days 00:15:36.000000000,,,0 days 00:20:00.000000000,,,0 days 00:04:24.000000000
20162017,56,FLA,2016-10-20,3,0 days 00:19:04.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:56.000000000
20162017,57,TOR,2016-10-20,3,0 days 00:19:27.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:33.000000000
20162017,58,DAL,2016-10-20,3,0 days 00:17:20.000000000,0 days 00:17:53.000000000,,,0 days 00:00:33.000000000,,
20162017,60,STL,2016-10-20,3,0 days 00:18:38.500000000,,0 days 00:19:22.000000000,,,0 days 00:00:43.500000000,
20162017,61,BUF,2016-10-20,3,0 days 00:18:21.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:39.000000000
20162017,62,ARI,2016-10-21,3,0 days 00:18:44.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:15.500000000
20162017,63,CHI,2016-10-21,3,0 days 00:17:21.000000000,,,0 days 00:20:00.000000000,,,0 days 00:02:39.000000000
20162017,64,NSH,2016-10-21,3,0 days 00:18:59.500000000,,0 days 00:19:38.000000000,,,0 days 00:00:38.500000000,
20162017,65,BOS,2016-10-22,3,0 days 00:17:16.000000000,,,0 days 00:20:00.000000000,,,0 days 00:02:44.000000000
20162017,67,S.J,2016-10-22,3,0 days 00:16:47.000000000,,,0 days 00:20:00.000000000,,,0 days 00:03:13.000000000
20162017,70,PHI,2016-10-22,3,0 days 00:17:15.000000000,0 days 00:17:33.000000000,,,0 days 00:00:18.000000000,,
20162017,71,WSH,2016-10-22,3,0 days 00:19:36.000000000,,0 days 00:19:54.000000000,,,0 days 00:00:18.000000000,
20162017,72,CHI,2016-10-22,3,0 days 00:17:23.000000000,0 days 00:17:32.000000000,,,0 days 00:00:09.000000000,,
20162017,72,CHI,2016-10-22,3,0 days 00:18:05.500000000,0 days 00:18:32.000000000,,,0 days 00:00:26.500000000,,
20162017,74,DAL,2016-10-22,3,0 days 00:18:13.000000000,,0 days 00:18:48.000000000,,,0 days 00:00:35.000000000,
20162017,75,CGY,2016-10-22,3,0 days 00:18:30.500000000,,0 days 00:19:21.000000000,,,0 days 00:00:50.500000000,
20162017,76,VAN,2016-10-22,3,0 days 00:18:48.500000000,0 days 00:19:25.000000000,,,0 days 00:00:36.500000000,,
20162017,78,MIN,2016-10-23,3,0 days 00:17:59.500000000,,0 days 00:18:17.000000000,,,0 days 00:00:17.500000000,
20162017,79,ARI,2016-10-23,3,0 days 00:18:56.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:03.500000000
20162017,81,PHI,2016-10-24,3,0 days 00:18:41.000000000,,0 days 00:18:57.000000000,,,0 days 00:00:16.000000000,
20162017,81,PHI,2016-10-24,3,0 days 00:19:04.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:56.000000000
20162017,84,ARI,2016-10-25,3,0 days 00:18:41.500000000,,0 days 00:19:46.000000000,,,0 days 00:01:04.500000000,
20162017,86,FLA,2016-10-25,3,0 days 00:19:44.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:15.500000000
20162017,88,CAR,2016-10-25,3,0 days 00:17:48.500000000,,,0 days 00:20:00.000000000,,,0 days 00:02:11.500000000
20162017,89,STL,2016-10-25,3,0 days 00:18:12.500000000,,0 days 00:18:49.000000000,,,0 days 00:00:36.500000000,
20162017,90,WPG,2016-10-25,3,0 days 00:18:56.000000000,0 days 00:19:50.000000000,,,0 days 00:00:54.000000000,,
20162017,90,WPG,2016-10-25,3,0 days 00:19:50.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:10.000000000
20162017,91,VAN,2016-10-25,3,0 days 00:16:47.000000000,,0 days 00:17:41.000000000,,,0 days 00:00:54.000000000,
20162017,94,NYI,2016-10-26,3,0 days 00:18:53.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:07.000000000
20162017,98,BUF,2016-10-27,3,0 days 00:18:25.500000000,,0 days 00:18:51.000000000,,,0 days 00:00:25.500000000,
20162017,99,PHI,2016-10-27,3,0 days 00:18:57.000000000,0 days 00:19:45.000000000,,,0 days 00:00:48.000000000,,
20162017,99,PHI,2016-10-27,3,0 days 00:19:45.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:15.000000000
20162017,100,NYI,2016-10-27,3,0 days 00:18:15.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:45.000000000
20162017,101,FLA,2016-10-27,3,0 days 00:18:48.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:11.500000000
20162017,102,T.B,2016-10-27,3,0 days 00:18:45.500000000,,0 days 00:19:16.000000000,,,0 days 00:00:30.500000000,
20162017,102,T.B,2016-10-27,3,0 days 00:19:21.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:39.000000000
20162017,104,DAL,2016-10-27,3,0 days 00:18:14.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:46.000000000
20162017,106,CBJ,2016-10-27,3,0 days 00:18:09.000000000,,0 days 00:19:59.000000000,,,0 days 00:01:50.000000000,
20162017,107,CHI,2016-10-28,3,0 days 00:17:33.000000000,0 days 00:17:49.000000000,,,0 days 00:00:16.000000000,,
20162017,108,NYR,2016-10-28,3,0 days 00:19:21.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:38.500000000
20162017,109,COL,2016-10-28,3,0 days 00:18:38.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:22.000000000
20162017,111,VAN,2016-10-28,3,0 days 00:18:19.000000000,,0 days 00:18:40.000000000,,,0 days 00:00:21.000000000,
20162017,111,VAN,2016-10-28,3,0 days 00:18:52.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:07.500000000
20162017,114,TOR,2016-10-29,3,0 days 00:17:46.500000000,,,0 days 00:20:00.000000000,,,0 days 00:02:13.500000000
20162017,115,DET,2016-10-29,3,0 days 00:18:20.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:39.500000000
20162017,116,T.B,2016-10-29,3,0 days 00:16:49.000000000,,,0 days 00:20:00.000000000,,,0 days 00:03:11.000000000
20162017,117,PHI,2016-10-29,3,0 days 00:18:24.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:36.000000000
20162017,118,L.A,2016-10-29,3,0 days 00:19:42.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:17.500000000
20162017,120,ARI,2016-10-29,3,0 days 00:18:41.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:19.000000000
20162017,121,VAN,2016-10-29,3,0 days 00:18:19.000000000,,0 days 00:18:42.000000000,,,0 days 00:00:23.000000000,
20162017,122,NSH,2016-10-29,3,0 days 00:17:31.000000000,,0 days 00:18:40.000000000,,,0 days 00:01:09.000000000,
20162017,125,CAR,2016-10-30,3,0 days 00:18:03.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:56.500000000
20162017,128,L.A,2016-10-30,3,0 days 00:18:23.000000000,,0 days 00:18:50.000000000,,,0 days 00:00:27.000000000,
20162017,129,EDM,2016-10-30,3,0 days 00:18:27.500000000,,0 days 00:19:27.000000000,,,0 days 00:00:59.500000000,
20162017,130,CGY,2016-10-30,3,0 days 00:18:46.000000000,,0 days 00:19:35.000000000,,,0 days 00:00:49.000000000,
20162017,133,CBJ,2016-11-01,3,0 days 00:18:26.000000000,0 days 00:19:44.000000000,,,0 days 00:01:18.000000000,,
20162017,136,FLA,2016-11-01,3,0 days 00:19:22.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:38.000000000
