season,game_number,team_name,date,pull_period,pull_time,goal_for_time,goal_against_time,goal_for_timedelta,goal_against_timedelta,game_end_timedelta
20062007,618,OTT,2007-01-06,3,0 days 00:19:18.000000000,,,,,0 days 00:00:42.000000000
20062007,248,MIN,2006-11-12,3,0 days 00:19:52.000000000,,,,,0 days 00:00:08.000000000
20062007,566,NSH,2006-12-29,3,0 days 00:18:58.000000000,,0 days 00:19:23.000000000,,0 days 00:00:25.000000000,
20062007,1103,WSH,2007-03-22,3,0 days 00:19:08.000000000,,,,,0 days 00:00:52.000000000
20062007,589,STL,2007-01-02,3,0 days 00:17:47.000000000,,0 days 00:19:16.000000000,,0 days 00:01:29.000000000,
20062007,1046,PHI,2007-03-13,3,0 days 00:17:52.000000000,0 days 00:18:43.000000000,,0 days 00:00:51.000000000,,
20062007,1046,PHI,2007-03-13,3,0 days 00:19:00.000000000,,,,,0 days 00:01:00.000000000
20062007,81,STL,2006-10-17,3,0 days 00:18:23.000000000,,0 days 00:19:37.000000000,,0 days 00:01:14.000000000,
20062007,5,WSH,2006-10-05,3,0 days 00:18:30.000000000,,0 days 00:19:08.000000000,,0 days 00:00:38.000000000,
20062007,1178,EDM,2007-04-01,3,0 days 00:19:18.000000000,,,,,0 days 00:00:42.000000000
20062007,771,BOS,2007-02-01,3,0 days 00:18:44.000000000,,,,,0 days 00:01:16.000000000
20062007,1085,ANA,2007-03-18,3,0 days 00:18:35.000000000,,,,,0 days 00:01:25.000000000
20062007,819,BOS,2007-02-08,3,0 days 00:18:40.000000000,,0 days 00:19:32.000000000,,0 days 00:00:52.000000000,
20062007,42,PHI,2006-10-11,3,0 days 00:18:02.000000000,,0 days 00:19:41.000000000,,0 days 00:01:39.000000000,
20062007,399,PIT,2006-12-05,3,0 days 00:18:47.000000000,,,,,0 days 00:01:13.000000000
20062007,663,EDM,2007-01-12,3,0 days 00:18:37.000000000,,0 days 00:19:57.000000000,,0 days 00:01:20.000000000,
20062007,233,STL,2006-11-10,3,0 days 00:19:34.000000000,,0 days 00:19:47.000000000,,0 days 00:00:13.000000000,
20062007,726,L.A,2007-01-20,3,0 days 00:18:32.000000000,,,,,0 days 00:01:28.000000000
