season,game_number,team_name,date,pull_period,pull_time,goal_for_time,goal_against_time,goal_for_timedelta,goal_against_timedelta,game_end_timedelta
20032004,710,CHI,2004-01-21,3,0 days 00:19:44.000000000,,0 days 00:19:47.000000000,,0 days 00:00:03.000000000,
20032004,205,MIN,2003-11-08,3,0 days 00:19:58.000000000,,,,,0 days 00:00:02.000000000
20032004,1230,S.J,2004-04-04,3,0 days 00:18:39.000000000,0 days 00:19:40.000000000,,0 days 00:01:01.000000000,,
20032004,655,PHX,2004-01-13,3,0 days 00:19:03.000000000,,0 days 00:19:25.000000000,,0 days 00:00:22.000000000,
20032004,985,PHX,2004-03-02,3,0 days 00:18:34.000000000,0 days 00:18:44.000000000,,0 days 00:00:10.000000000,,
20032004,1119,ATL,2004-03-20,3,0 days 00:18:29.000000000,0 days 00:19:17.000000000,,0 days 00:00:48.000000000,,
20032004,439,L.A,2003-12-13,3,0 days 00:18:45.000000000,,,,,0 days 00:01:15.000000000
20032004,317,EDM,2003-11-26,3,0 days 00:17:48.000000000,,,,,0 days 00:02:12.000000000
20032004,481,NYR,2003-12-20,3,0 days 00:19:11.000000000,,,,,0 days 00:00:49.000000000
20032004,878,COL,2004-02-16,3,0 days 00:18:39.000000000,,,,,0 days 00:01:21.000000000
20032004,23,CAR,2003-10-11,3,0 days 00:18:57.000000000,,,,,0 days 00:01:03.000000000
20032004,897,CHI,2004-02-19,3,0 days 00:19:28.000000000,,0 days 00:19:41.000000000,,0 days 00:00:13.000000000,
20032004,751,TOR,2004-01-27,3,0 days 00:18:51.000000000,,,,,0 days 00:01:09.000000000
20032004,244,OTT,2003-11-15,3,0 days 00:19:00.000000000,,,,,0 days 00:01:00.000000000
20032004,35,VAN,2003-10-13,3,0 days 00:19:52.000000000,,,,,0 days 00:00:08.000000000
20032004,497,STL,2003-12-22,3,0 days 00:18:57.000000000,,,,,0 days 00:01:03.000000000
20032004,478,BOS,2003-12-20,3,0 days 00:19:25.000000000,,,,,0 days 00:00:35.000000000
20032004,706,WSH,2004-01-21,3,0 days 00:19:32.000000000,,,,,0 days 00:00:28.000000000
20032004,356,ANA,2003-12-02,3,0 days 00:18:31.000000000,0 days 00:19:28.000000000,,0 days 00:00:57.000000000,,
20032004,356,ANA,2003-12-02,3,0 days 00:19:36.000000000,,,,,0 days 00:00:24.000000000
20032004,643,PHI,2004-01-12,3,0 days 00:19:20.000000000,,,,,0 days 00:00:40.000000000
20032004,1226,STL,2004-04-04,3,0 days 00:18:53.000000000,,0 days 00:19:29.000000000,,0 days 00:00:36.000000000,
20032004,213,EDM,2003-11-11,3,0 days 00:19:37.000000000,,,,,0 days 00:00:23.000000000
20032004,839,PHX,2004-02-11,3,0 days 00:18:23.000000000,,,,,0 days 00:01:37.000000000
