season,game_number,team_name,date,pull_period,pull_time,goal_for_time,goal_against_time,game_end_time,goal_for_timedelta,goal_against_timedelta,game_end_timedelta
20072008,1,ANA,2007-09-29,3,0 days 00:18:40.000000000,,0 days 00:19:34.000000000,,,0 days 00:00:54.000000000,
20072008,6,DAL,2007-10-03,3,0 days 00:18:34.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:25.500000000
20072008,8,TOR,2007-10-04,3,0 days 00:19:25.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:35.000000000
20072008,9,N.J,2007-10-04,3,0 days 00:18:43.000000000,,0 days 00:19:02.000000000,,,0 days 00:00:19.000000000,
20072008,11,CHI,2007-10-04,3,0 days 00:18:53.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:06.500000000
20072008,13,S.J,2007-10-04,3,0 days 00:19:11.500000000,0 days 00:19:49.000000000,,,0 days 00:00:37.500000000,,
20072008,14,STL,2007-10-04,3,0 days 00:18:24.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:36.000000000
20072008,17,BUF,2007-10-05,3,0 days 00:18:30.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:30.000000000
20072008,18,ATL,2007-10-05,3,0 days 00:19:17.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:42.500000000
20072008,20,VAN,2007-10-05,3,0 days 00:18:06.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:54.000000000
20072008,21,PHI,2007-10-06,3,0 days 00:18:35.000000000,,0 days 00:19:38.000000000,,,0 days 00:01:03.000000000,
20072008,24,BUF,2007-10-06,3,0 days 00:19:31.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:28.500000000
20072008,25,CAR,2007-10-06,3,0 days 00:18:34.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:25.500000000
20072008,27,ANA,2007-10-06,3,0 days 00:19:09.000000000,0 days 00:19:38.000000000,,,0 days 00:00:29.000000000,,
20072008,27,ANA,2007-10-06,3,0 days 00:19:38.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:22.000000000
20072008,29,DAL,2007-10-06,3,0 days 00:18:26.500000000,,0 days 00:18:46.000000000,,,0 days 00:00:19.500000000,
20072008,30,CBJ,2007-10-06,3,0 days 00:19:31.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:28.500000000
20072008,33,PHX,2007-10-06,3,0 days 00:18:49.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:11.000000000
20072008,34,L.A,2007-10-06,3,0 days 00:18:44.500000000,,0 days 00:19:13.000000000,,,0 days 00:00:28.500000000,
20072008,37,N.J,2007-10-08,3,0 days 00:18:54.000000000,,0 days 00:19:11.000000000,,,0 days 00:00:17.000000000,
20072008,38,EDM,2007-10-08,3,0 days 00:18:36.000000000,,0 days 00:19:26.000000000,,,0 days 00:00:50.000000000,
20072008,40,NYR,2007-10-10,3,0 days 00:19:05.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:54.500000000
20072008,41,ATL,2007-10-10,3,0 days 00:17:54.500000000,,,0 days 00:20:00.000000000,,,0 days 00:02:05.500000000
20072008,42,PHX,2007-10-10,3,0 days 00:19:38.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:21.500000000
20072008,43,PIT,2007-10-10,3,0 days 00:18:49.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:11.000000000
20072008,44,FLA,2007-10-10,3,0 days 00:18:56.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:04.000000000
20072008,45,CGY,2007-10-10,3,0 days 00:18:27.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:32.500000000
20072008,46,EDM,2007-10-10,3,0 days 00:17:33.000000000,,,0 days 00:20:00.000000000,,,0 days 00:02:27.000000000
20072008,47,CHI,2007-10-10,3,0 days 00:18:28.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:31.500000000
20072008,51,BOS,2007-10-10,3,0 days 00:18:17.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:43.000000000
20072008,54,OTT,2007-10-11,3,0 days 00:18:39.000000000,,0 days 00:19:01.000000000,,,0 days 00:00:22.000000000,
20072008,56,NSH,2007-10-11,3,0 days 00:17:04.000000000,0 days 00:17:33.000000000,,,0 days 00:00:29.000000000,,
20072008,56,NSH,2007-10-11,3,0 days 00:18:23.500000000,,0 days 00:19:52.000000000,,,0 days 00:01:28.500000000,
20072008,57,WSH,2007-10-12,3,0 days 00:18:01.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:58.500000000
20072008,58,DET,2007-10-12,3,0 days 00:19:13.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:46.500000000
20072008,62,L.A,2007-10-12,3,0 days 00:17:42.000000000,,0 days 00:18:33.000000000,,,0 days 00:00:51.000000000,
20072008,63,BUF,2007-10-13,3,0 days 00:12:05.500000000,0 days 00:12:09.000000000,,,0 days 00:00:03.500000000,,
20072008,64,TOR,2007-10-13,3,0 days 00:19:00.000000000,,0 days 00:19:10.000000000,,,0 days 00:00:10.000000000,
20072008,64,TOR,2007-10-13,3,0 days 00:19:10.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:50.000000000
20072008,65,MTL,2007-10-13,3,0 days 00:19:02.500000000,,0 days 00:19:44.000000000,,,0 days 00:00:41.500000000,
20072008,66,NYR,2007-10-13,3,0 days 00:19:08.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:52.000000000
20072008,67,NYI,2007-10-13,3,0 days 00:18:34.000000000,,0 days 00:19:54.000000000,,,0 days 00:01:20.000000000,
20072008,68,ATL,2007-10-13,3,0 days 00:19:43.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:16.500000000
20072008,69,T.B,2007-10-13,3,0 days 00:18:04.500000000,,,0 days 00:20:00.000000000,,,0 days 00:01:55.500000000
20072008,71,CHI,2007-10-13,3,0 days 00:18:45.000000000,0 days 00:19:58.000000000,,,0 days 00:01:13.000000000,,
20072008,74,PHX,2007-10-13,3,0 days 00:19:27.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:32.500000000
20072008,75,S.J,2007-10-13,3,0 days 00:19:05.000000000,0 days 00:19:22.000000000,,,0 days 00:00:17.000000000,,
20072008,75,S.J,2007-10-13,3,0 days 00:19:48.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:12.000000000
